case,citystate,state,date,summary,fatalities,injured,total_victims,location_type,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,latitude,longitude,type,year
Wedgwood Baptist Church shooting,"Fort Worth, Texas",Texas,9/15/99,"Larry Gene Ashbrook, 47, opened fire inside the Wedgwood Baptist Church during a prayer rally before committing suicide.",8,7,15,Religious,47,Yes,His siblings decribed him as a paranoid schizophrenic. ,1,"Trader's Village flea market in Grand Prairie, Texas",Two semiautomatic handguns,".380-caliber, 9mm Ruger P85 semiautomatic handguns",white,M,32.664511,-97.384246,Mass,1999
Marjory Stoneman Douglas High School shooting,"Parkland, Florida",Florida,2/14/18,"Nikolas J. Cruz, 19, heavily armed with an AR-15, tactical gear, and “countless magazines” of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus.",17,17,34,School,19,Yes,Cruz had a long history of behavioral problems and had spent time in mental health clinics.,1,A Florida pawn shop,semiautomatic rifle,AR-15,White,M,26.30483,-80.269511,Mass,2018
Umpqua Community College shooting,"Roseburg, Oregon",Oregon,10/1/15,26-year-old Chris Harper Mercer opened fire at Umpqua Community College in southwest Oregon. The gunman shot himself to death after being wounded in a shootout with police.,9,9,18,School,26,Unclear,"Harper-Mercer's mother said in multiple online postings that he had Asperger's syndrome. Harper-Mercer graduated from the Switzer Learning Center, a school for students with special needs, emotional difficulties, autism and Asperger's syndrome.",1,From the home he shared with his mother. All were legally obtained by either Harper/Mercer or family members.,"Five pistols, one rifle, five magazines of ammunition","9 mm Glock pistol, .40 caliber Smith & Wesson, .40 caliber Taurus pistol, .556 caliber Del-Ton; (ammo details unclear)",Other,M,43.289538,-123.333193,Mass,2015
Isla Vista mass murder,"Santa Barbara, California",California,5/23/14,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.",6,13,19,School,22,Yes,"Rodger was never hospitalized due to mental illness, but had a long history of mental health issues dating back to his childhood, and received treatment from multiple counselors leading up to his rampage. According to The Independent, Rodger had considered suicide but had no history of violence. Just before his rampage, he sent a 137-page manifesto to multiple people.",1,-,Three semi-automatic handguns and two hunting knives,"Two Sig Sauer P226 semiautomatic pistols and Glock 34 pistol, and hundreds of rounds of ammo. A 6- inchand 8-inch “SRK” and “Boar Hunter” hunting knives. ",White,M,34.436283,-119.8714406,Mass,2014
Oikos University killings,"Oakland, California",California,4/2/12,"One L. Goh, 43, a former student, opened fire in a nursing classroom. He fled the scene by car and was arrested nearby a few hours later.",7,3,10,School,43,Yes,"A former instructor at Oikos described him as ""mentally unstable"" and ""paranoid.""",1,"Bullseye in Castro Valley, Calif.",One semiautomatic handgun,.45-caliber semiautomatic handgun,Asian,M,37.8043808,-122.2708166,Mass,2012
Northern Illinois University shooting,"DeKalb, Illinois",Illinois,2/14/08,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",5,21,26,School,27,Yes,"He had a long history of mental health struggles; after high school, his parents placed him at a psychiatric treatment center. He told friends he left the Army after six months due to a psychological discharge. ",1,"Online and gun retailers in Champaign, Ill. ","Three semiautomatic handguns, one shotgun","9mm Glock 19, Hi-Point CF380, 9mm Kurz SIG Sauer P232 semiautomatic handguns; 12-gauge Remington Sportsman 48 sawed-off shotgun",white,M,41.9294736,-88.7503647,Mass,2008
Virginia Tech massacre,"Blacksburg, Virginia",Virginia,4/16/07,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide.",32,23,55,School,23,Yes,"A district court ruled Cho was ""an imminent danger"" to himself and others as a result of mental illness two years earlier, and directed Cho to seek treatment. ",1,"Purchased variously online and from Roanoke Firearms in Roanoke, Va.",Two semiautomatic handguns,"9mm Glock 19, .22-caliber Walther P22 semiautomatic handguns",Asian,M,37.2295733,-80.4139393,Mass,2007
Amish school shooting,"Lancaster County, Pennsylvania",Pennsylvania,10/2/06,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life.",6,5,11,School,32,No,He told his wife that he'd molested two young relatives 20 years ago. ,1,"Local stores in Nickel Mines, Penn. ","One semiautomatic handgun, one rifle, one shotgun",Springfield semiautomatic handgun; .30-06 Ruger bolt-action rifle; 12-gauge Browning pump-action shotgun,white,M,39.9589,-76.0806,Mass,2006
Lindhurst High School shooting,"Olivehurst, California",California,5/1/92,"Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death.",4,10,14,School,20,No,"He suffered violent physical abuse as a child. He claimed a teacher had sexually abused him, but the truth of that allegation was contested. ",1,Local gun retailer,"One rifle, one shotgun",.22-caliber sawed-off rifle; 12-gauge pump-action shotgun,white,M,39.07868761,-121.5475762,Mass,1992
University of Iowa shooting,"Iowa City, Iowa",Iowa,11/1/91,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene.",6,1,7,School,28,Unclear,He was described as darkly disturbed and isolated.,1,"Fin & Feather in Iowa City, Iowa",One revolver,.38-caliber Taurus revolver,Asian,M,41.6606893,-91.5302214,Spree,1991
Stockton schoolyard shooting,"Stockton, California",California,1/17/89,"Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.",6,29,35,School,26,Yes,"He told a mental health professional he was ""struggling to resist actions on thoughts which are destructive in nature."" He also suffered from alcoholism. ",1,"Sandy Trading Post in Sandy, Ore.; Hunter Loan and Jewelry Co. in Stockton, Calif.","One semiautomatic handgun, one rifle (assault)",9mm Taurus semiautomatic handgun; AK-47 Chinese variant semiautomatic rifle,white,M,37.9577016,-121.2907796,Mass,1989
